"wikidata_uri","label","birth_year","gender"
http://www.wikidata.org/entity/Q1000087,Horst Baier,1933,male
http://www.wikidata.org/entity/Q1000348,Rainer Neu,1950,male
http://www.wikidata.org/entity/Q1000622,Zsuzsa Ferge,1931,female
http://www.wikidata.org/entity/Q100138682,Nah Dove,1940,female
http://www.wikidata.org/entity/Q100144803,Anne-Marié Waser,1960,female
http://www.wikidata.org/entity/Q100146726,Nicolas Bourgoin,1962,male
http://www.wikidata.org/entity/Q100149431,Jan Hajda,1927,male
http://www.wikidata.org/entity/Q100156655,Lydia Bean,1985,female
http://www.wikidata.org/entity/Q1002184,Félix Somló,1873,male
http://www.wikidata.org/entity/Q100229849,Alice Afra de Carvalho,1898,female
http://www.wikidata.org/entity/Q100250029,Robin M. Chandler,1950,female
http://www.wikidata.org/entity/Q100253040,Jane Kenway,1950,female
http://www.wikidata.org/entity/Q100256450,Serge Clément,1947,male
http://www.wikidata.org/entity/Q100273083,Lenka Zlámalová,1973,female
http://www.wikidata.org/entity/Q1002940,György Forintos,1935,male
http://www.wikidata.org/entity/Q100318551,Lígia Ferro,1981,female
http://www.wikidata.org/entity/Q100324178,Gerhard Dieter Nothacker,1953,male
http://www.wikidata.org/entity/Q100328765,Fátima Patriarca,1944,female
http://www.wikidata.org/entity/Q1003573,Izidor Frankl,1842,male
http://www.wikidata.org/entity/Q100366657,Martín Tanaka,1965,male
http://www.wikidata.org/entity/Q100375832,Ronald Voullié,1952,male
http://www.wikidata.org/entity/Q100383628,Robert Wilhelm Schulz,1914,male
http://www.wikidata.org/entity/Q100400535,Yasemin Beşen-Cassino,1978,female
http://www.wikidata.org/entity/Q100401228,Carmen María Pinilla,1948,female
http://www.wikidata.org/entity/Q100415916,Gerlinde Mehlhorn,1942,female
http://www.wikidata.org/entity/Q100417813,Claudia Tazreiter,1963,female
http://www.wikidata.org/entity/Q100429076,Piers Beirne,1949,male
http://www.wikidata.org/entity/Q100443,Martin Schäuble,1978,male
http://www.wikidata.org/entity/Q100453304,Laurent Sébastien Fournier,1974,male
http://www.wikidata.org/entity/Q100491140,Heejung Chung,1977,female
http://www.wikidata.org/entity/Q100501676,Sharyn Roach Anleu,1959,female
http://www.wikidata.org/entity/Q100516234,Terri Seddon,1952,female
http://www.wikidata.org/entity/Q100550045,Kokunre Agbontaen Eghafona,1959,female
http://www.wikidata.org/entity/Q100590721,Dorota Szaban,1979,female
http://www.wikidata.org/entity/Q100590722,Jerzy Leszkowicz-Baczyński,1957,male
http://www.wikidata.org/entity/Q100590845,Edward Hajduk,1932,male
http://www.wikidata.org/entity/Q100591628,Wioletta Szymczak,1973,female
http://www.wikidata.org/entity/Q100597,Franz Rothenbacher,1954,male
http://www.wikidata.org/entity/Q100605021,Barbara Thériault,1972,female
http://www.wikidata.org/entity/Q100605042,Pierre Hamel,1947,male
http://www.wikidata.org/entity/Q100605172,Yanick Noiseux,1974,male
http://www.wikidata.org/entity/Q100605288,Marianne Kempeneers,1953,female
http://www.wikidata.org/entity/Q100605311,Deena White,1951,female
http://www.wikidata.org/entity/Q100605346,Robert Sévigny,1930,male
http://www.wikidata.org/entity/Q100605373,Isabelle Van Pevenage,1971,female
http://www.wikidata.org/entity/Q100605425,Gabriel Gagnon,1935,male
http://www.wikidata.org/entity/Q100605435,Marc Renaud,1946,male
http://www.wikidata.org/entity/Q100605453,Jane Jenson,1946,female
http://www.wikidata.org/entity/Q100605468,Hélène Belleau,1965,female
http://www.wikidata.org/entity/Q100605488,Sirma Bilge,1967,female
http://www.wikidata.org/entity/Q100642,Lothar Krappmann,1936,male
http://www.wikidata.org/entity/Q100681093,Joachim Marcus-Steiff,1928,male
http://www.wikidata.org/entity/Q100685397,Gilles Breton,1949,male
http://www.wikidata.org/entity/Q100699680,Miklós Buk,1907,male
