s,label,birthDate,genLabel
"<http://www.wikidata.org/entity/Q113730844>","Ivo Lesbaupin",1946,"male"
"<http://www.wikidata.org/entity/Q112540238>","Jon P. Alston",1937,"male"
"<http://www.wikidata.org/entity/Q12310818>","Eyvind Vesselbo",1946,"male"
"<http://www.wikidata.org/entity/Q113785774>","Eva-Maria Schrage",1982,"female"
"<http://www.wikidata.org/entity/Q1329359>","Elijah Anderson",1943,"male"
"<http://www.wikidata.org/entity/Q112494714>","Jean-Paul Romeo Gagnon",1984,"male"
"<http://www.wikidata.org/entity/Q11980968>","Kjersti Tommelstad",1970,"female"
"<http://www.wikidata.org/entity/Q111576827>","Meryem Sellami",1982,"female"
"<http://www.wikidata.org/entity/Q112529993>","Michele Byers",1971,"female"
"<http://www.wikidata.org/entity/Q1673299>","Janpeter Kob",1927,"male"
"<http://www.wikidata.org/entity/Q125926340>","Liliana Lanzardo",1938,"female"
"<http://www.wikidata.org/entity/Q1559434>","Göran Dahl",1953,"male"
"<http://www.wikidata.org/entity/Q112492191>","Tereza Bínová",1990,"female"
"<http://www.wikidata.org/entity/Q112466670>","Fabrizio Bernardi",1970,"male"
"<http://www.wikidata.org/entity/Q112377561>","Marie Přidalová",1974,"female"
"<http://www.wikidata.org/entity/Q120612551>","Ciro Tarantino",1973,"male"
"<http://www.wikidata.org/entity/Q12273368>","Blagoy Kolev",1946,"male"
"<http://www.wikidata.org/entity/Q1561703>","Günther Ogris",1960,"male"
"<http://www.wikidata.org/entity/Q109382154>","Nicola Lettieri",1973,"male"
"<http://www.wikidata.org/entity/Q16264896>","Yoshio Okada",1934,"male"
"<http://www.wikidata.org/entity/Q131685429>","Boris Muževič",1949,"male"
"<http://www.wikidata.org/entity/Q1657795>","Igor Kon",1928,"male"
"<http://www.wikidata.org/entity/Q112546930>","Thi Phuong Linh Huynh",1984,"female"
"<http://www.wikidata.org/entity/Q136722520>","Maurício Dominguez Perez",1968,"male"
"<http://www.wikidata.org/entity/Q18044687>","Lídia Puigvert",1970,"female"
"<http://www.wikidata.org/entity/Q20013769>","Joaquín Capelo",1852,"male"
"<http://www.wikidata.org/entity/Q109760041>","Gilda Figueiredo Portugal Gouvea",1944,"female"
"<http://www.wikidata.org/entity/Q11915381>","Consol Prados i Martínez",1967,"female"
"<http://www.wikidata.org/entity/Q11737860>","Kazimierz Frieske",1945,"male"
"<http://www.wikidata.org/entity/Q11967239>","Else-Britt Nilsen",1946,"female"
"<http://www.wikidata.org/entity/Q113470819>","Synnøve Økland Jahnsen",1981,"female"
"<http://www.wikidata.org/entity/Q112223016>","Paul Lagneau-Ymonet",1979,"male"
"<http://www.wikidata.org/entity/Q112556988>","V. V. Sapov",1951,"male"
"<http://www.wikidata.org/entity/Q12164947>","Serhiy Ustych",1955,"male"
"<http://www.wikidata.org/entity/Q15296786>","Zoltán Fleck",1965,"male"
"<http://www.wikidata.org/entity/Q12230207>","Faleh Abdul Jabbar",1946,"male"
"<http://www.wikidata.org/entity/Q112517677>","James Scott Kenney",1963,"male"
"<http://www.wikidata.org/entity/Q114380798>","Vesna Leskovšek",1968,"female"
"<http://www.wikidata.org/entity/Q10361071>","Ricardo Antunes",1953,"male"
"<http://www.wikidata.org/entity/Q1391809>","Walter Friedrich",1929,"male"
"<http://www.wikidata.org/entity/Q136734807>","Antonella Cereghetti",1959,"female"
"<http://www.wikidata.org/entity/Q112521553>","Sjoerd van Tuinen",1978,"male"
"<http://www.wikidata.org/entity/Q112502823>","Zeus Leonardo",1968,"male"
"<http://www.wikidata.org/entity/Q118247235>","Krzysztof Matuszek",1976,"male"
"<http://www.wikidata.org/entity/Q1294220>","Sándor Szalai",1912,"male"
"<http://www.wikidata.org/entity/Q112523947>","Grey Gundaker",1950,"female"
"<http://www.wikidata.org/entity/Q111766847>","Donald P. Kent",1916,"male"
"<http://www.wikidata.org/entity/Q112449160>","Sharon Lockyer",1974,"female"
"<http://www.wikidata.org/entity/Q112553866>","Paweł Dominik Kubicki",1973,"male"
"<http://www.wikidata.org/entity/Q125957634>","Nikola Tohma",1988,"female"
"<http://www.wikidata.org/entity/Q10861318>","Carlos Guzmán-Böckler",1930,"male"
"<http://www.wikidata.org/entity/Q15768528>","Trond Blindheim",1955,"male"
"<http://www.wikidata.org/entity/Q13563072>","Bertice Berry",1960,"female"
"<http://www.wikidata.org/entity/Q113780094>","Gracia Liu-Farrer",1971,"female"
"<http://www.wikidata.org/entity/Q112516533>","Mato Jelušić",1953,"male"
"<http://www.wikidata.org/entity/Q11616263>","Unosuke Wakamiya",1872,"male"
"<http://www.wikidata.org/entity/Q120535478>","Boris Čuchovič",1962,"male"
"<http://www.wikidata.org/entity/Q17130537>","Kazuto Kojima",1933,"male"
"<http://www.wikidata.org/entity/Q136596253>","Wilhelmus Jansen",1946,"male"
"<http://www.wikidata.org/entity/Q110367806>","Marta Kijewska-Trembecka",1955,"female"
"<http://www.wikidata.org/entity/Q133305869>","Elizabeth Warren Markson",1934,"female"
"<http://www.wikidata.org/entity/Q117200445>","Manuel Schotté",1975,"male"
"<http://www.wikidata.org/entity/Q133270865>","Elisabeth Fix",1965,"female"
"<http://www.wikidata.org/entity/Q112454400>","Clemens Noelke",1980,"male"
"<http://www.wikidata.org/entity/Q12446341>","Madhav Sadashiv Gore",1921,"male"
"<http://www.wikidata.org/entity/Q106602203>","Thomas Müller-Schneider",1961,"male"
"<http://www.wikidata.org/entity/Q19677949>","John Graham Brooks",1846,"male"
"<http://www.wikidata.org/entity/Q106514947>","Curtis D. LeBaron",1963,"male"
"<http://www.wikidata.org/entity/Q195085>","Nels Anderson",1889,"male"
"<http://www.wikidata.org/entity/Q134595332>","Aili Kelam",1935,"female"
"<http://www.wikidata.org/entity/Q1705900>","Paul Nolte",1963,"male"
"<http://www.wikidata.org/entity/Q122715>","Philippe Perrenoud",1955,"male"
"<http://www.wikidata.org/entity/Q20048905>","Vânia Toledo",1945,"female"
"<http://www.wikidata.org/entity/Q184750>","Slavoj Žižek",1949,"male"
"<http://www.wikidata.org/entity/Q115599715>","Gabrielle Richard",1982,"female"
"<http://www.wikidata.org/entity/Q112421952>","David J. Levy",1947,"male"
"<http://www.wikidata.org/entity/Q15046793>","Branko Bokun",1920,"male"
"<http://www.wikidata.org/entity/Q15918067>","Sun Liping",1955,"male"
"<http://www.wikidata.org/entity/Q184992>","Bronisław Malinowski",1884,"male"
"<http://www.wikidata.org/entity/Q1292072>","István Stumpf",1957,"male"
"<http://www.wikidata.org/entity/Q113736649>","Gema Kloppe-Santamaría",1985,"female"
"<http://www.wikidata.org/entity/Q118190636>","Françoise Le Borgne-Uguen",1961,"female"
"<http://www.wikidata.org/entity/Q1596156>","Heiner Meulemann",1944,"male"
"<http://www.wikidata.org/entity/Q120757279>","David A. Smith",1956,"male"
"<http://www.wikidata.org/entity/Q113715383>","Doron Kiesel",1949,"male"
"<http://www.wikidata.org/entity/Q112444463>","Richard Pieper",1945,"male"
"<http://www.wikidata.org/entity/Q112535252>","Fiammetta Fanizza",1968,"female"
"<http://www.wikidata.org/entity/Q107637412>","Bruce Carruthers",1957,"male"
"<http://www.wikidata.org/entity/Q108392940>","Fabian Schmidt",1972,"male"
"<http://www.wikidata.org/entity/Q15437159>","Steven Messner",1951,"male"
"<http://www.wikidata.org/entity/Q15452680>","Ned Kock",1964,"male"
"<http://www.wikidata.org/entity/Q112441156>","Krzysztof Marcin Zalewski",1979,"male"
"<http://www.wikidata.org/entity/Q107745>","Gerhard Stapelfeldt",1947,"male"
"<http://www.wikidata.org/entity/Q113717790>","Mary Jo Neitz",1951,"female"
