"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q1000087,Horst Baier,1933,male,Brno,POINT(16.608333 49.195278),http://www.wikidata.org/entity/Q14960
http://www.wikidata.org/entity/Q1000348,Rainer Neu,1950,male,Wesel,POINT(6.617778 51.658611),http://www.wikidata.org/entity/Q4011
http://www.wikidata.org/entity/Q1000622,Zsuzsa Ferge,1931,female,Budapest,POINT(19.040833 47.498333),http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q100146726,Nicolas Bourgoin,1962,male,Paris,POINT(2.352222 48.856667),http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q1002184,Félix Somló,1873,male,Bratislava,POINT(17.112778 48.144722),http://www.wikidata.org/entity/Q1780
http://www.wikidata.org/entity/Q100229849,Alice Afra de Carvalho,1898,female,Maceió,POINT(-35.735000 -9.665833),http://www.wikidata.org/entity/Q168888
http://www.wikidata.org/entity/Q100250029,Robin M. Chandler,1950,female,Boston,POINT(-71.057778 42.360278),http://www.wikidata.org/entity/Q100
http://www.wikidata.org/entity/Q100273083,Lenka Zlámalová,1973,female,Nové Město na Moravě,POINT(16.074221 49.561482),http://www.wikidata.org/entity/Q986075
http://www.wikidata.org/entity/Q1002940,György Forintos,1935,male,Budapest,POINT(19.040833 47.498333),http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q100318551,Lígia Ferro,1981,female,Bragança,POINT(-6.750000 41.800000),http://www.wikidata.org/entity/Q768261
http://www.wikidata.org/entity/Q100324178,Gerhard Dieter Nothacker,1953,male,Stuttgart,POINT(9.180000 48.777500),http://www.wikidata.org/entity/Q1022
http://www.wikidata.org/entity/Q100328765,Fátima Patriarca,1944,female,Couço,POINT(-8.271990 38.936040),http://www.wikidata.org/entity/Q1137951
http://www.wikidata.org/entity/Q100366657,Martín Tanaka,1965,male,Lima,POINT(-77.037500 -12.060000),http://www.wikidata.org/entity/Q2868
http://www.wikidata.org/entity/Q100375832,Ronald Voullié,1952,male,Bremen,POINT(8.807222 53.075833),http://www.wikidata.org/entity/Q24879
http://www.wikidata.org/entity/Q100383628,Robert Wilhelm Schulz,1914,male,Bötzingen,POINT(7.725555 48.076944),http://www.wikidata.org/entity/Q518889
http://www.wikidata.org/entity/Q100400535,Yasemin Beşen-Cassino,1978,female,Istanbul,POINT(28.960278 41.010000),http://www.wikidata.org/entity/Q406
http://www.wikidata.org/entity/Q100415916,Gerlinde Mehlhorn,1942,female,Gera,POINT(12.082420 50.878180),http://www.wikidata.org/entity/Q3750
http://www.wikidata.org/entity/Q100443,Martin Schäuble,1978,male,Lörrach,POINT(7.661389 47.615556),http://www.wikidata.org/entity/Q6855
http://www.wikidata.org/entity/Q100550045,Kokunre Agbontaen Eghafona,1959,female,London,POINT(-0.127500 51.507222),http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q100590845,Edward Hajduk,1932,male,Gnieździska,POINT(20.278056 50.868889),http://www.wikidata.org/entity/Q657227
http://www.wikidata.org/entity/Q100597,Franz Rothenbacher,1954,male,Schelklingen,POINT(9.732778 48.375555),http://www.wikidata.org/entity/Q515086
http://www.wikidata.org/entity/Q100642,Lothar Krappmann,1936,male,Kiel,POINT(10.139445 54.323333),http://www.wikidata.org/entity/Q1707
http://www.wikidata.org/entity/Q100681093,Joachim Marcus-Steiff,1928,male,Berlin,POINT(13.383333 52.516667),http://www.wikidata.org/entity/Q64
http://www.wikidata.org/entity/Q100699680,Miklós Buk,1907,male,Kunmadaras,POINT(20.800000 47.433333),http://www.wikidata.org/entity/Q1021844
http://www.wikidata.org/entity/Q100747032,Ildiko Asztalos Morell,1958,female,Budapest,POINT(19.040833 47.498333),http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q100784119,Eva Gregorová,1977,female,Brno,POINT(16.608333 49.195278),http://www.wikidata.org/entity/Q14960
http://www.wikidata.org/entity/Q100868954,Sebastian Schüler,1976,male,Bad Soden am Taunus,POINT(8.499722 50.142430),http://www.wikidata.org/entity/Q39785
http://www.wikidata.org/entity/Q100899798,Bettina Kohlrausch,1976,female,Bad Godesberg,POINT(7.150000 50.683333),http://www.wikidata.org/entity/Q153260
http://www.wikidata.org/entity/Q100913229,Andreas Wimmer,1962,male,Schaffhausen,POINT(8.633860 47.696530),http://www.wikidata.org/entity/Q9009
http://www.wikidata.org/entity/Q100936189,Werner Goldschmidt,1940,male,Saarbrücken,POINT(7.000000 49.233333),http://www.wikidata.org/entity/Q1724
http://www.wikidata.org/entity/Q100975399,Michael Nollert,1960,male,Zurich,POINT(8.541111 47.374444),http://www.wikidata.org/entity/Q72
http://www.wikidata.org/entity/Q100987652,Cecilia Menjívar,1959,female,El Salvador,POINT(-88.866111 13.668889),http://www.wikidata.org/entity/Q792
http://www.wikidata.org/entity/Q101007209,Odin W. Anderson,1914,male,Minneapolis,POINT(-93.269167 44.981945),http://www.wikidata.org/entity/Q36091
http://www.wikidata.org/entity/Q101048388,André Billette,1932,male,Quebec City,POINT(-71.224167 46.816111),http://www.wikidata.org/entity/Q2145
http://www.wikidata.org/entity/Q101064596,Dorothea Gaudart,1927,female,Vienna,POINT(16.372500 48.208333),http://www.wikidata.org/entity/Q1741
http://www.wikidata.org/entity/Q101102856,Detlef Garz,1949,male,Bermbach,POINT(10.595833 50.677500),http://www.wikidata.org/entity/Q556751
http://www.wikidata.org/entity/Q101175344,Halliman H. Winsborough,1932,male,St. Louis,POINT(-90.199444 38.626389),http://www.wikidata.org/entity/Q38022
http://www.wikidata.org/entity/Q101235,Anton Sterbling,1953,male,Sânnicolau Mare,POINT(20.629444 46.072222),http://www.wikidata.org/entity/Q837161
http://www.wikidata.org/entity/Q101242607,Lalo Leal,1948,male,Santos,POINT(-46.328640 -23.933599),http://www.wikidata.org/entity/Q81882
http://www.wikidata.org/entity/Q101246978,Daniel Gay,1933,male,Port-au-Prince,POINT(-72.340278 18.546944),http://www.wikidata.org/entity/Q34261
http://www.wikidata.org/entity/Q101251151,Luis Morales Rodríguez,1992,non-binary,Quetzaltenango,POINT(-91.516667 14.833333),http://www.wikidata.org/entity/Q334577
http://www.wikidata.org/entity/Q101349,Kurt Breysig,1866,male,Poznań,POINT(16.933611 52.408333),http://www.wikidata.org/entity/Q268
http://www.wikidata.org/entity/Q101423194,Natxo Sorolla i Vidal,1980,male,Peñarroya de Tastavins,POINT(0.039722 40.755000),http://www.wikidata.org/entity/Q539588
http://www.wikidata.org/entity/Q101440467,Audrey Célestine,1980,female,Dunkirk,POINT(2.376389 51.037778),http://www.wikidata.org/entity/Q45797
http://www.wikidata.org/entity/Q101472481,Peter Schmidt,1942,male,Poznań,POINT(16.933611 52.408333),http://www.wikidata.org/entity/Q268
http://www.wikidata.org/entity/Q101538600,Claude Beauchamp,1939,male,Mascouche,POINT(-73.599560 45.749650),http://www.wikidata.org/entity/Q141748
http://www.wikidata.org/entity/Q101538676,Jan Jaroslawski,1925,male,Łódź,POINT(19.466667 51.750000),http://www.wikidata.org/entity/Q580
http://www.wikidata.org/entity/Q1016356,Burkart Lutz,1925,male,Munich,POINT(11.575000 48.137500),http://www.wikidata.org/entity/Q1726
http://www.wikidata.org/entity/Q1016499,Burkhard Spinnen,1956,male,Mönchengladbach,POINT(6.433333 51.200000),http://www.wikidata.org/entity/Q2758
http://www.wikidata.org/entity/Q101657491,Nancy Wang Yuen,1976,female,Taiwan,POINT(121.000000 24.000000),http://www.wikidata.org/entity/Q865
http://www.wikidata.org/entity/Q101691603,Merav Nakar-Sadi,1970,female,פרדס חנה,POINT(34.850000 32.033333),http://www.wikidata.org/entity/Q950347
http://www.wikidata.org/entity/Q101842,Horst Herrmann,1940,male,Schruns,POINT(9.919167 47.080278),http://www.wikidata.org/entity/Q603733
http://www.wikidata.org/entity/Q101850967,Mauro Valeri,1960,male,Vittorito,POINT(13.817500 42.128055),http://www.wikidata.org/entity/Q50173
http://www.wikidata.org/entity/Q101856469,Marian Lens,1959,female,Waterloo,POINT(4.383333 50.716667),http://www.wikidata.org/entity/Q179034
http://www.wikidata.org/entity/Q101988,Helmut Reichelt,1939,male,Borås,POINT(12.945726 57.717104),http://www.wikidata.org/entity/Q26040
http://www.wikidata.org/entity/Q102017,Leopold Schwarzschild,1891,male,Frankfurt,POINT(8.682222 50.110556),http://www.wikidata.org/entity/Q1794
http://www.wikidata.org/entity/Q102029577,Khairi Al Oraidi,1947,male,Husan,POINT(35.133861 31.709947),http://www.wikidata.org/entity/Q5948939
http://www.wikidata.org/entity/Q102032653,Elena Lasida,1959,female,Montevideo,POINT(-56.191311 -34.905917),http://www.wikidata.org/entity/Q1335
http://www.wikidata.org/entity/Q102077647,Jan Szymczyk,1963,male,Nowe Miasto nad Pilicą,POINT(20.576111 51.619444),http://www.wikidata.org/entity/Q1019505
http://www.wikidata.org/entity/Q102086,Karl Heinz Roth,1942,male,Wertheim,POINT(9.516670 49.750000),http://www.wikidata.org/entity/Q61912
http://www.wikidata.org/entity/Q102104647,Gabriel Quijandría,1969,male,Lima,POINT(-77.037500 -12.060000),http://www.wikidata.org/entity/Q2868
http://www.wikidata.org/entity/Q102106,Stephan Moebius,1973,male,Constance,POINT(9.175278 47.663333),http://www.wikidata.org/entity/Q3834
http://www.wikidata.org/entity/Q102109299,Anssi Peräkylä,1957,male,Helsinki,POINT(24.937500 60.170833),http://www.wikidata.org/entity/Q1757
http://www.wikidata.org/entity/Q102157353,Jürgen von Troschke,1941,male,Gladbeck,POINT(6.982670 51.571340),http://www.wikidata.org/entity/Q3905
http://www.wikidata.org/entity/Q102181,Bernhard Ebbinghaus,1961,male,Stuttgart,POINT(9.180000 48.777500),http://www.wikidata.org/entity/Q1022
http://www.wikidata.org/entity/Q102200516,Antigone Mouchtouris,1951,female,Athens,POINT(23.728056 37.984167),http://www.wikidata.org/entity/Q1524
http://www.wikidata.org/entity/Q102202622,Pascal Gielen,1970,male,Bree,POINT(5.583333 51.133333),http://www.wikidata.org/entity/Q275863
http://www.wikidata.org/entity/Q102216,Joachim Fischer,1951,male,Hanover,POINT(9.738611 52.374444),http://www.wikidata.org/entity/Q1715
http://www.wikidata.org/entity/Q102221913,Charles H. Proctor,1928,male,Wayne,POINT(-83.386389 42.281389),http://www.wikidata.org/entity/Q125225
http://www.wikidata.org/entity/Q102238481,Martin Osterland,1937,male,Köthen,POINT(11.973611 51.751111),http://www.wikidata.org/entity/Q1796771
http://www.wikidata.org/entity/Q1022431,Erol Yıldız,1960,male,Samsun,POINT(36.330000 41.286667),http://www.wikidata.org/entity/Q160450
http://www.wikidata.org/entity/Q102246720,Masayuki Itō,1964,male,Nagoya,POINT(136.906389 35.181389),http://www.wikidata.org/entity/Q11751
http://www.wikidata.org/entity/Q102277,Dankwart Danckwerts,1933,male,Hamburg,POINT(10.000000 53.550000),http://www.wikidata.org/entity/Q1055
http://www.wikidata.org/entity/Q102341342,María Isabel Remy,1954,female,Lima,POINT(-77.037500 -12.060000),http://www.wikidata.org/entity/Q2868
http://www.wikidata.org/entity/Q102355281,Mark Trappmann,1970,male,Duisburg,POINT(6.761111 51.432222),http://www.wikidata.org/entity/Q2100
http://www.wikidata.org/entity/Q102367218,Amada Armenta,1982,female,El Centro,POINT(-115.563051 32.792000),http://www.wikidata.org/entity/Q495369
http://www.wikidata.org/entity/Q102434,Herman Schmalenbach,1885,male,Breckerfeld,POINT(7.466667 51.261111),http://www.wikidata.org/entity/Q11323
http://www.wikidata.org/entity/Q102476,Rauf Ceylan,1976,male,Duisburg,POINT(6.761111 51.432222),http://www.wikidata.org/entity/Q2100
