"name","date_birth","name","date_begin","date_end"
Howard Saul Becker,"1928-05-18",Northwestern University,"1933",
Howard Saul Becker,"1928-05-18",Institute for Juvenile Research,"1951",
Howard Saul Becker,"1928-05-18",University of Illinois,"1953","1955"
Howard Saul Becker,"1928-05-18",Stanford University,"1955","1957"
Howard Saul Becker,"1928-05-18",University of Chicago,"1951","1953"
Howard Saul Becker,"1928-05-18",Northwestern University,"1965","1991"
Howard Saul Becker,"1928-05-18",University of Manchester,,
Howard Saul Becker,"1928-05-18",Museu Nacional,,
Howard Saul Becker,"1928-05-18",University of Washington,"1991","1999"
Pierre Bourdieu,"1930-08-01",University of Lille,"1960","1964"
Pierre Bourdieu,"1930-08-01",École des Hautes Études en Sciences Sociales,"1964","2001"
Judith Butler,"1956-02-24",Wesleyan University,,
Judith Butler,"1956-02-24",George Washington University,,
Judith Butler,"1956-02-24",Johns Hopkins University,,
Judith Butler,"1956-02-24",University of California,"1993",
Judith Butler,"1956-02-24",University of Amsterdam,"2002",
Judith Butler,"1956-02-24",Columbia University,"2012","2014"
Christine Delphy,"1941-12-09",Washington Urban League,"1965","1968"
Christine Delphy,"1941-12-09",MLF,"1968",
W.E.B Du Bois,"1868-02-23",Friedrich Wilhelm University,"1892",
W.E.B Du Bois,"1868-02-23",Wilberforce University in Ohio,"1894","1896"
W.E.B Du Bois,"1868-02-23",University of Pennsylvania,"1896","1897"
W.E.B Du Bois,"1868-02-23",Atlanta University,"1897",
W.E.B Du Bois,"1868-02-23",American Negro Academy ,"1897","1910"
W.E.B Du Bois,"1868-02-23",National Association for the Advancement of Colored People,"1910",
W.E.B Du Bois,"1868-02-23",Socialist Party of America,"1911",
W.E.B Du Bois,"1868-02-23",Atlanta University,"1934",
Emile Durkheim,"1858-05-15",University of Bordeaux,"1887",
Emile Durkheim,"1858-05-15",La Sorbonne,"1902","1917"
Norbert Elias,"1897-06-22",London School of Economics,"1939","1940"
Norbert Elias,"1897-06-22",Worker's Educational Association,"1941",
Norbert Elias,"1897-06-22",University of Leicester,"1941",
Norbert Elias,"1897-06-22",University of Leicester,"1954","1975"
Erving Goffman,"1922-06-11",National Institute for Mental Health,"1954","1957"
Erving Goffman,"1922-06-11",University of California,"1958","1968"
Erving Goffman,"1922-06-11",University of Pennsylvania,"1968",
Erving Goffman,"1922-06-11",American Association for the Abolition of Involuntary Mental Hospitalization,"1970",
Herbert Richard Hoggart,"1918-09-24",University of Hull,"1946","1959"
Herbert Richard Hoggart,"1918-09-24",University of Leicester,"1959","1962"
Herbert Richard Hoggart,"1918-09-24",Birmingham University,"1962","1973"
Charles Wright Mills,"1916-08-28","University of Maryland, College Park","1941","1945"
Charles Wright Mills,"1916-08-28",Columbia University,"1945","1946"
Charles Wright Mills,"1916-08-28",Columbia University,"1946",
