"pk_education","fk_person","fk_organisation","fk_area_education","date_begin","date_end"
1,1,2,1,,"1946"
2,1,2,2,,
3,1,2,3,,"1951"
4,2,8,1,,
5,2,8,2,,
6,3,15,1,,
7,3,16,1,,"1978"
8,3,16,3,,"1984"
9,3,17,,"1979","1979"
10,4,2,,,
11,4,9,,,
12,4,13,,,
13,5,25,1,"1885","1888"
14,5,24,1,"1888","1890"
15,5,24,3,,"1895"
16,6,8,1,"1879","1881"
17,6,,3,,"1896"
18,7,36,1,"1917",
19,7,17,,"1919","1919"
20,7,"",3,,"1924"
21,8,44,1,"1939",
22,8,45,1,,"1945"
23,8,2,2,,"1949"
24,8,2,3,"1949","1953"
25,9,49,,,
26,10,60,,"1934",""
27,10,61,1,"","1939"
28,10,62,3,,"1942"
